CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
IQVDMFYVPSHFEP-UHFFFAOYSA-N	751	2-{4-[(4'-methoxybiphenyl-3-yl)sulfonyl]piperazin-1-yl}-3-(4-methoxyphenyl)pyrazine
XDAKTDQGVCHONK-UHFFFAOYSA-N	752	2-[5-[2-(1,3-benzothiazol-2-ylamino)-2-oxidanylidene-ethyl]sulfanyl-4~{h}-1,2,4-triazol-3-yl]benzoic acid
WNBAQRWHLIHMSN-UHFFFAOYSA-N	753	5-methyl-4-(methylamino)-2-(2-phenylethyl)thieno[2,3-d]pyrimidine-6-carboxylic acid
HNODNXQAYXJFMQ-LQUSFLDPSA-N	754	(2e,4e,6z)-3-methyl-7-(5,5,8,8-tetramethyl-3-propoxy-5,6,7,8-tetrahydronaphthalen-2-yl)octa-2,4,6-trienoic acid
KOHMGERIGIVBEC-FZMZJTMJSA-N	755	4-chloro-2-[({(1s,2s)-2-[(2,2-dimethylpropanoyl)amino]cyclopentyl}methyl)amino]benzoic acid
PWUXNVBUFJIXEG-INIZCTEOSA-N	756	[(3s)-3-(1h-benzimidazol-2-yl)piperidin-1-yl](2-methyl-1-benzofuran-5-yl)methanone
XYKCBRCSBVZGIL-WRXYKUNKSA-N	757	5-[[(2s)-2-[[(3r,4s)-5-(3,5-difluorophenoxy)-3-hydroxy-4-[[3-(methyl-methylsulfonyl-amino)-5-[[(1r)-1-phenylethyl]carbamoyl]phenyl]carbonylamino]pentanoyl]amino]-3-methyl-butanoyl]amino]benzene-1,3-dicarboxylic acid
MBAHGUNQNAJTLD-UHFFFAOYSA-N	758	2-chloro-5-{[(2,2-dimethylpropanoyl)amino]methyl}-n-(1h-imidazol-2-yl)benzamide
HJITZUXCPZGZPX-PYNGZGNASA-N	759	(2~{s},4~{r})-1-[(2~{s})-2-[2-[2-[2-[2-[2-[(9~{s})-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.0^{2,6}]trideca-2(6),4,7,10,12-pentaen-9-yl]ethanoylamino]ethoxy]ethoxy]ethoxy]ethanoylamino]-3,3-dimethyl-butanoyl]-~{n}-[[4-(4-methyl-2,3-dihydro-1,3-thiazol-5-yl)phenyl]methyl]-4-oxidanyl-pyrrolidine-2-carboxamide
DSHZHFAULLMSCZ-PMACEKPBSA-N	75A	n-acetyl-4-[difluoro(phosphono)methyl]-l-phenylalanyl-n~5~-(3-iodobenzoyl)-l-ornithinamide
ISNNGRBZFMWGAL-DROAMXOMSA-N	75C	5'-({[(2r,3s)-3-amino-4-hydroxy-2-{[2-({n-[(2r)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl]sulfanyl}butyl]sulfonyl}amino)-5'-deoxyadenosine
YHGKEORTCHVBQH-UHFFFAOYSA-N	75D	2,4,6-tri(propan-2-yl)benzenesulfonic acid
PMTFGHJSNPKVBG-FHIGPPGSSA-N	75G	(2s,4ar,6r,7r,7as)-6-(6-amino-2-chloro-9h-purin-9-yl)-7-hydroxy-2-sulfanyltetrahydro-2h,4h-2lambda~5~-furo[3,2-d][1,3,2]dioxaphosphinin-2-one
UYMSIPINLJNNOU-UHFFFAOYSA-N	75H	n-{3-fluoro-4-[(7-methoxyquinolin-4-yl)oxy]phenyl}-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
FEXBDHCWKVFWPP-LJQANCHMSA-N	75J	2-({2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-4-oxo-3,4-dihydro-5h-imidazo[2,1-b]purin-5-yl}methyl)benzonitrile
ZJAOWOARDLUNKM-UHFFFAOYSA-N	75K	2,6-dimethyl-4h-pyrano[3,4-d][1,3]oxazol-4-one
QWESHPQYRLOVFN-LJQANCHMSA-N	75L	2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-6-[(4-methylquinazolin-2-yl)methyl]-6,7,8,9-tetrahydropyrimido[2,1-b]purin-4(3h)-one
KWDNXNYGKOAJBG-LJQANCHMSA-N	75M	4-({2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-4-oxo-3,4-dihydro-5h-imidazo[2,1-b]purin-5-yl}methyl)benzonitrile
MQXMHDINDWMFHK-GOSISDBHSA-N	75N	2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-5-[(4-methylquinazolin-2-yl)methyl]-3h-imidazo[2,1-b]purin-4(5h)-one
MJHBRTGGZYSCHJ-UHFFFAOYSA-N	75O	6-chloro-5-[6-(dimethylamino)-2-methoxypyridin-3-yl]-1h-indole-3-carboxylic acid
UEDAXBZCRLISHC-UHFFFAOYSA-N	75P	7-(2-aminoethoxy)-6-methoxy-2-(pyrrolidin-1-yl)-n-[5-(pyrrolidin-1-yl)pentyl]quinazolin-4-amine
KCFYEAOKVJSACF-UHFFFAOYSA-N	75U	ethyl 6-bromo-4-[(dimethylamino)methyl]-5-hydroxy-1-methyl-2-[(phenylsulfanyl)methyl]-1h-indole-3-carboxylate
FCCIQOJEDMDETP-QHZLYTNSSA-N	75V	n-{[(2s,3s)-3-(ethoxycarbonyl)oxiran-2-yl]carbonyl}-l-isoleucyl-l-alanine
GTQOUNMUULYWFG-UHFFFAOYSA-N	75X	3-[2-amino-6-(cyclohexylmethoxy)-7h-purin-8-yl]-2-methylphenol
JYJAEHAURXXPSD-UHFFFAOYSA-N	760	9-(3-phenylmethylamino)-1,2,3,4-tetrahydroacridine
DQBLKSRRWDWNKQ-UHFFFAOYSA-N	761	3-(oxalyl-amino)-naphthalene-2-carboxylic acid
RPGVMAPDADAHPV-UHFFFAOYSA-N	762	3-{5-[amino(iminio)methyl]-6-chloro-1h-benzimidazol-2-yl}-1,1'-biphenyl-2-olate
RSBBIDHMRYRIDJ-OPYVMVOTSA-O	765	5'-{1-[(3s)-3-amino-3-carboxypropyl]aziridin-1-ium-1-yl}-5'-deoxyadenosine
OGNSGOBRJCYTGK-UHFFFAOYSA-N	767	n2-(3-(dimethylamino)propyl)-6,7-dimethoxy-n4,n4-dimethylquinazoline-2,4-diamine
QMRFKZWWZBZQKJ-MVXIZWJUSA-N	768	(2r)-1-(2,4-dichlorophenoxy)-3-[(2e)-2-imino-3-(2-piperidin-1-ylethyl)-2,3-dihydro-1h-benzimidazol-1-yl]propan-2-ol
VKPCXCHYSBVEMW-HCGLCNNCSA-N	76A	3-(4'-hydroxybiphenyl-4-yl)-n-(4-hydroxycyclohexyl)-1,4-dihydroindeno[1,2-c]pyrazole-6-carboxamide
UISOZEPWNXYPCK-JTQLQIEISA-N	76C	2,4-bis(azanyl)-6-[[(1~{s})-1-[5-chloranyl-3-(5-fluoranyl-4-methyl-pyridin-3-yl)-4-oxidanylidene-quinazolin-2-yl]ethyl]amino]pyrimidine-5-carbonitrile
ULVHAZFBJJXIDO-UHFFFAOYSA-N	76D	2,4,6-tri(propan-2-yl)benzoic acid
BCCOZQIHZZQJIS-UHFFFAOYSA-N	76E	2-chloro-6-fluoro-n-[4-[3-(trifluoromethyl)phenyl]sulfonyl-3,5-dihydro-2h-1,4-benzoxazepin-7-yl]benzamide
ZDIZXAAADLAUDS-BRZDOZMNSA-P	76H	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-propyl-azanium
RFJREUSTWBSNNC-OAVPVUAOSA-P	76J	[(2~{s},5~{s})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-pentyl-azanium
UXRCPBKKSMEZKD-BRZDOZMNSA-P	76K	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-(3-oxidanylpropyl)azanium
OTZLYSCRIUWVSV-LZABMDAUSA-P	76L	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-[(2~{r})-2-oxidanylpropyl]azanium
JFKLCPCUECHESR-SNDYUSLUSA-P	76M	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-(2-methylpropyl)azanium
FIOIMCLLFNYJFV-ZGTZEGHKSA-P	76O	[(2~{r},5~{s})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-(phenylmethyl)azanium
UCYLWJABRYZSHN-AULYBMBSSA-N	76P	~{n},~{n}-dimethyl-4-(6-nitroquinazolin-4-yl)oxy-cyclohexan-1-amine
XXIAQHKXGSSEJL-UHFFFAOYSA-N	76Q	5-[3-(3,5-dimethylphenyl)-4-[4-(methylamino)butyl]quinolin-6-yl]pyridin-3-ol
OOLOFMBJOQKFOW-RGGAHWMASA-L	76R	[3,3',3'',3'''-(3,8,13,17-tetramethylporphyrin-2,7,12,18-tetrayl-kappa~4~n~21~,n~22~,n~23~,n~24~)tetra(propanoato)(2-)]manganese
QWMIOBWBDTXOII-JTQLQIEISA-N	76U	(4s)-5-fluoro-4-[({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methyl)amino]pentanoic acid
CFABOFMUPCWOPC-LHEWDLALSA-N	76V	n-{[(2s,3s)-3-(ethoxycarbonyl)oxiran-2-yl]carbonyl}-l-isoleucyl-l-isoleucine
ZZYXNRREDYWPLN-UHFFFAOYSA-N	76X	pyridine-2,3-diamine
FNWQVYIDFQBAEE-UHFFFAOYSA-N	76Y	1-[(2-chlorophenyl)methyl]pyrrole-2-carboxamide
CMHKURIYUXPNNR-UHFFFAOYSA-N	76Z	10-(3-methyl-3-oxidanyl-but-1-ynyl)-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepine-2-carboxamide
JWZVNUNTFNELHL-UHFFFAOYSA-N	770	n-[4-(2-chlorophenyl)-1,3-dioxo-1,2,3,6-tetrahydropyrrolo[3,4-c]carbazol-9-yl]formamide
CRFICMUDNBIMKL-UHFFFAOYSA-N	771	4-(4-benzyloxy-2-methanesulfonylamino-5-methoxy-benzylamino)-benzamidine
NQLPTOOPFMPCHQ-UHFFFAOYSA-N	772	2-cyanoquinolin-8-yl dihydrogen phosphate
PENDGIOBPJLVBT-ONLVEXIXSA-N	773	cethromycin
JQCNDFJWLIDNDO-UHFFFAOYSA-N	774	6,7-dihydrothieno[4,5]oxepino[1,2-~{c}]pyridine-2-carboxamide
WMUCQGGTSRVMIG-UHFFFAOYSA-N	775	2-[(4-chlorobenzyl)amino]-7-oxo-5-propyl-4,7-dihydropyrazolo[1,5-a]pyrimidine-3-carbonitrile
JNUGFGAVPBYSHF-UHFFFAOYSA-N	778	4-[(5-{[4-(3-chlorophenyl)-3-oxopiperazin-1-yl]methyl}-1h-imidazol-1-yl)methyl]benzonitrile
CVMRAJSOLFSMNH-UNIVCBNLSA-N	779	1-[(1r,3s)-3-{[(2e,4r)-4-(2-cyclohexylethyl)-2-imino-1-methyl-5-oxoimidazolidin-4-yl]methyl}cyclohexyl]-3-phenylurea
GIAYFZLMPSVQDV-NSHDSACASA-N	77A	1-(5-chloro-2-methoxyphenyl)-3-{6-[2-(dimethylamino)-1-methylethoxy]pyrazin-2-yl}urea
NFVQITLYIOBLMG-WIGBTLJFSA-N	77B	benzyl n-({(2s,3s)-3-[(benzylamino)carbonyl]oxiran-2-yl}carbonyl)-l-isoleucyl-l-prolinate
XDSXYMOZKDUASY-INIZCTEOSA-N	77C	2,4-diamino-6-{[(s)-[5-chloro-8-fluoro-4-oxo-3-(pyridin-3-yl)-3,4-dihydroquinazolin-2-yl](cyclopropyl)methyl]amino}pyrimidine-5-carbonitrile
YSSBOOQPHTZACI-CYBMUJFWSA-N	77D	2-[(2-fluoro-4-iodophenyl)amino]-5,5-dimethyl-8-oxo-n-[(3r)-piperidin-3-yl]-5,6,7,8-tetrahydro-4h-thieno[2,3-c]azepine-3-carboxamide
CFDRNBOOPNTUHH-SNVBAGLBSA-N	77E	(4r)-4-amino-6-{3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}hexanoic acid
SYWUYTFGNQDWGW-XZWHSSHBSA-N	77F	n-[(2s,3r)-4-{(cyclohexylmethyl)[(4-methoxyphenyl)sulfonyl]amino}-3-hydroxy-1-phenylbutan-2-yl]-3-hydroxybenzamide
WNPFBIDOQFZHQF-UHFFFAOYSA-N	77J	n-hydroxy-3-[(6-oxo-4-phenyl-1,6-dihydropyrimidin-2-yl)sulfanyl]propanamide
PEEZSSNXCUTRPK-UHFFFAOYSA-N	77O	6-chloro-n-[(furan-2-yl)methyl]pyrazin-2-amine
OAXYYUPBCKQHBM-HZMBPMFUSA-N	77T	2-fluoro-4-[(2s,3s)-3-hydroxy-2,3-dimethylpyrrolidin-1-yl]-3-methylbenzonitrile
SSTNLJGXVPIZND-CABZTGNLSA-N	77U	2-chloro-4-[(2s,3s)-3-hydroxy-2-methylpyrrolidin-1-yl]-3-methylbenzonitrile
MDWXVGCLSBQVMP-UHFFFAOYSA-N	77V	n~4~-cyclopropyl-n~2~-(3-methyl-1h-indazol-6-yl)furo[3,2-d]pyrimidine-2,4-diamine
NZVCGXAIFBXHCL-UITUQSNXSA-N	77W	(2e)-3-{4-[(1r)-2-(4-fluorophenyl)-6-hydroxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl]phenyl}prop-2-enoic acid
DVIQMCGALYMKFG-UHFFFAOYSA-N	77X	1-(3-phenyl-1,4,6,7-tetrahydropyrazolo[4,3-c]pyridin-5-yl)propan-1-one
DJBPRNKHEIKONB-VGEFNSAVSA-N	77Y	 5-(3-(2-(1h-indol-3-yl)acetamide-n-yl)-1-propen-1-yl)-2'-deoxyuridine
BIRTVLIYTDXUDJ-IFMALSPDSA-N	77Z	2-({(3r)-3-[(3s)-1-(3-methylbutyl)-2,4-dioxo-1,2,3,4-tetrahydroquinolin-3-yl]-1,1-dioxido-3,4-dihydro-2h-1,2,4-benzothiadiazin-7-yl}oxy)acetamide
LMGQGPVCSYOMNS-UHFFFAOYSA-N	780	3-{5-[amino(iminio)methyl]-1h-benzimidazol-2-yl}-1,1'-biphenyl-2-olate
IPFXHEAWAKCIPJ-UHFFFAOYSA-N	781	n-(5-hydroxynaphthalen-2-yl)propanamide
HKXVKUOGCLJVEZ-AJVPWASQSA-N	782	(2e)-3-(4-{(1r)-6-hydroxy-1-methyl-2-[4-(propan-2-yl)phenyl]-1,2,3,4-tetrahydroisoquinolin-1-yl}phenyl)prop-2-enoic acid
MINVOLKUPZPDNX-UHFFFAOYSA-N	783	3-{5-[amino(iminio)methyl]-1h-indol-2-yl}-5-methoxy-1,1'-biphenyl-2-olate
JCLUABDCGDTVPA-VJANTYMQSA-N	784	[amino (4-{(3as,4r,8as,8br)-1,3-dioxo-2- [3-(trimethylammonio) propyl]decahydropyrrolo[3,4-a] pyrrolizin-4-yl}phenyl) methylene]ammonium
PJUALJXOBAXGBO-UHFFFAOYSA-N	785	2-{5-[amino(iminio)methyl]-1h-benzimidazol-2-yl}-4-(trifluoromethoxy)benzenolate
QFHBCQAIZQPRLF-SJFSSXKUSA-N	786	(2r,3r)-2,3-dihydroxy-4-{(2r)-2-[2-(methylamino)-5-(methylsulfonyl)-1,3-thiazol-4-yl]pyrrolidin-1-yl}-4-oxo-n-{(1r)-1-[4-(1h-pyrazol-1-yl)phenyl]ethyl}butanamide
FRLTXWJJMCIUNT-UHFFFAOYSA-N	787	(phenyl-phosphono-methyl)-phosphonic acid
HIUJNBXYERGONS-UHFFFAOYSA-N	788	n-benzyl-4-methyl-1-phenyl[1,2,4]triazolo[4,3-a]quinoxaline-8-carboxamide
DHPCBFMFERFZLR-UHFFFAOYSA-N	789	3-bromo-6-hydroxy-2-(4-hydroxyphenyl)-1h-inden-1-one
MERYMLLGRCNRKE-HILJTLORSA-N	78A	n-({(2s,3s)-3-[(benzylamino)carbonyl]oxiran-2-yl}carbonyl)-l-isoleucyl-l-proline
WCTQEHGXBKFLKG-UHFFFAOYSA-N	78B	ethyl 4-(aminomethyl)benzoate
HXGULOODWVYRBT-ZDUSSCGKSA-N	78C	cyclopentyl 2-oxo-4-phenylazetidine-1-carboxylate
HHGDWBRCYRMYJG-KHIPGEDFSA-N	78D	(6e,8e)-11-{[(3s)-hexahydropyridazine-3-carbonyl]oxy}undeca-6,8-dienoic acid
ZXIFDXMZMTULOX-WDJUPVIMSA-N	78E	3-[(3-hydroxyphenyl)methyl]-6-(propan-2-yl)-19-oxa-1,4,7,25-tetraazabicyclo[19.3.1]pentacosa-13,15-diene-2,5,8,20-tetrone
RVXHEXPQUYKMGS-JONDYOLGSA-N	78F	(2r,3r,4s,5s,6e,8e)-11-{[(3s)-hexahydropyridazine-3-carbonyl]oxy}-3,5-dimethoxy-2,4-dimethylundeca-6,8-dienoic acid
WBFYVDCHGVNRBH-UHFFFAOYSA-N	78H	7,8-dihydropteroate
DQJOFVKRLCBKNO-QZTJIDSGSA-N	78J	(3r,4r)-3-(cyclohexylmethoxy)piperidin-4-yl]amino}-3-methyl-1,2-dihydro-1,7-naphthyridin-2-one
KAMAPKIQUKEGQC-UHFFFAOYSA-N	78L	~{n}-[2,4-bis(fluoranyl)-5-[[9-(2-morpholin-4-ylethylcarbamoyl)-11-oxidanylidene-5,6-dihydrodibenzo[1,2-~{d}:1',2'-~{f}][7]annulen-3-yl]amino]phenyl]thiophene-2-carboxamide
BJMLBVHMHXYQFS-JJEJIETFSA-N	78M	(2s)-2,3-dihydroxypropyl(7z)-pentadec-7-enoate
BJMLBVHMHXYQFS-XZVRFQMRSA-N	78N	(2r)-2,3-dihydroxypropyl(7z)-pentadec-7-enoate
HXGJJSORSUPZMH-QFQOLUFTSA-N	78O	(2r,3r,6e)-7-{3-[(1r)-1-{[(3s)-hexahydropyridazine-3-carbonyl]oxy}ethyl]phenyl}-3-methoxy-2-methylhept-6-enoic acid
JNAHVYVRKWKWKQ-CYBMUJFWSA-N	78P	(2r)-2-(7-carbamoyl-1h-benzimidazol-2-yl)-2-methylpyrrolidinium
SDVFXCWSICLLGR-UBHKYMMISA-N	78Q	(2r,3r,6e)-7-[3-({[(3s)-hexahydropyridazine-3-carbonyl]oxy}methyl)phenyl]-3-methoxy-2-methylhept-6-enoic acid
FLZFOCXCNGEIHF-HEPDUKFXSA-N	78R	11-[(3-hydroxyphenyl)methyl]-18-methoxy-17-methyl-14-(propan-2-yl)-3-oxa-9,12,15,28-tetraazatricyclo[21.3.1.1~5,9~]octacosa-1(27),21,23,25-tetraene-4,10,13,16-tetrone
CZSQAYAIWDEOSA-CPCISQLKSA-N	78U	(betas)-beta-methyl-l-tryptophan
WKKVCWKOLYDIGO-UHFFFAOYSA-N	78W	2-oxidanylidenepropyl ~{n}-(2-chloranyl-6-fluoranyl-phenyl)carbonyl-~{n}'-(4-chlorophenyl)carbamimidothioate
SDVRVWXKFPHKSR-IBVKFTFISA-N	78X	11-[(3-hydroxyphenyl)methyl]-18-methoxy-2,17-dimethyl-14-(propan-2-yl)-3-oxa-9,12,15,28-tetraazatricyclo[21.3.1.1~5,9~]octacosa-1(27),21,23,25-tetraene-4,10,13,16-tetrone
IHPOVUXVIZRYAC-UHFFFAOYSA-N	78Y	5-methyl-2-phenyl-1,2,3-triazole-4-carboxamide
HDLFZCDEGAWEFX-UHFFFAOYSA-N	78Z	2-(1,1-difluoroethyl)-5-methyl-n-[6-(trifluoromethyl)pyridin-3-yl][1,2,4]triazolo[1,5-a]pyrimidin-7-amine
NSJSAHCLJYVEDM-UHFFFAOYSA-N	790	1,2,3,4-tetrahydroquinolin-8-yl dihydrogen phosphate
WWYDYZMNFQIYPT-UHFFFAOYSA-N	791	2-phenylmalonic acid
SFVPXERGVLDWIS-OAQYLSRUSA-N	792	n-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-d-tryptophan
MCBPNFWHHNJTGN-LLVKDONJSA-N	793	3-{[(1r)-1-phenylethyl]amino}-4-(pyridin-4-ylamino)cyclobut-3-ene-1,2-dione
WQWCUHJIERBOSM-UHFFFAOYSA-N	794	2-[(carboxycarbonyl)(1-naphthyl)amino]benzoic acid
UTFHURULTRKXDB-UHFFFAOYSA-N	795	2-(pyridin-3-yl)-1,3-thiazole-4-carbaldehyde
HHOVRZGUSBMKKU-ZDUSSCGKSA-N	796	n-[(1s)-2-amino-1-(2,4-dichlorobenzyl)ethyl]-5-[2-(methylamino)pyrimidin-4-yl]thiophene-2-carboxamide
LCGSYJVWLGYWTD-UHFFFAOYSA-N	797	3-(6-hydroxy-naphthalen-2-yl)-benzo[d]isooxazol-6-ol
VUWFJUJWAWMRQN-HXUWFJFHSA-N	798	{4-[(2r)-pyrrolidin-2-ylmethoxy]phenyl}(4-thiophen-3-ylphenyl)methanone
BEUQXVWXFDOSAQ-UHFFFAOYSA-N	799	2-methyl-2-(4-{2-[3-methyl-1-(propan-2-yl)-1h-1,2,4-triazol-5-yl]-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepin-9-yl}-1h-pyrazol-1-yl)propanamide
ONBSHRSJOPSEGS-INIZCTEOSA-N	79A	3-{[(1s)-2,2-difluoro-1-hydroxy-7-(methylsulfonyl)-2,3-dihydro-1h-inden-4-yl]oxy}-5-fluorobenzonitrile
DJNZZLZKAXGMMC-UHFFFAOYSA-N	79C	4-[(9-cyclopentyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5h-pyrimido[4,5-b][1,4]diazepin-2-yl)amino]-3-methoxy-n-(1-methylpiperidin-4-yl)benzamide
UJEXFMKGBVBXPF-XMMPIXPASA-N	79D	4-{[(6r)-7-cyano-5-cyclopentyl-6-ethyl-5,6-dihydroimidazo[1,5-f]pteridin-3-yl]amino}-3-methoxy-n-(1-methylpiperidin-4-yl)benzamide
DYUJUGYKDAQNDY-ROUUACIJSA-N	79E	jc96
YPJHJNRFPZWLPW-AWCRTANDSA-N	79G	(4s)-4-amino-n-[(2s,3s)-3-hydroxy-4-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}-1-phenylbutan-2-yl]-3,4-dihydro-2h-chromene-6-carboxamide
IHWTUDNGWXTJCT-CQSZACIVSA-N	79H	5-[1-[2-(dimethylamino)ethyl]pyrazol-4-yl]-7-oxidanylidene-6-propan-2-yl-6~{h}-pyrazolo[1,5-a]pyrimidine-3-carbonitrile
LVBIMVQYUKOENY-DQBXORCPSA-N	79J	4-o-acetyl-5-(acetylamino)-3,5-dideoxy-l-glycero-alpha-d-galacto-non-2-ulopyranosonic acid
JRWROCIMSDXGOZ-UHFFFAOYSA-N	79K	vercirnon
SLVOSRJOLWNALP-UPQXLTCGSA-N	79L	(2~{s})-3-(4-methoxyphenyl)-~{n}-[(2~{s},3~{s},4~{r})-4-methyl-3,5-bis(oxidanyl)-1-phenyl-pentan-2-yl]-2-[[(2~{r})-2-(2-morpholin-4-ylethanoylamino)propanoyl]amino]propanamide
OWGMAJRKMYGYBQ-HJCTWCACSA-N	79M	(2r)-2,3-dihydroxypropyl (7z)-hexadec-7-enoate
OWGMAJRKMYGYBQ-LPADLIQXSA-N	79N	(2s)-2,3-dihydroxypropyl (7z)-hexadec-7-enoate
UGRPNQCFWPYERM-UHFFFAOYSA-N	79O	8-bromo-2-(2-chlorophenyl)[1]benzofuro[3,2-d]pyrimidin-4(3h)-one
OMCVZYCNWOQLDV-WZPPRZIKSA-N	79P	(2~{s})-3-(1~{h}-indol-3-yl)-~{n}-[(2~{s},3~{s},4~{r})-4-methyl-3,5-bis(oxidanyl)-1-phenyl-pentan-2-yl]-2-[[(2~{r})-2-(2-morpholin-4-ylethanoylamino)propanoyl]amino]propanamide
JWZSSEWMVYKYKW-UHFFFAOYSA-N	79Q	3-[(3-benzamido-4-fluoranyl-phenyl)amino]-~{n}-(2-morpholin-4-ylethyl)-11-oxidanylidene-5,6-dihydrodibenzo[1,2-~{d}:1',2'-~{f}][7]annulene-9-carboxamide
LVVYJCDRPPCFEQ-YXEVWGHGSA-N	79R	(~{z})-2-cyano-~{n},~{n}-dimethyl-3-[5-[3-[(1~{s},2~{r})-2-methylcyclohexyl]-3,5,8,10-tetrazatricyclo[7.3.0.0^{2,6}]dodeca-1,4,6,8,11-pentaen-4-yl]furan-2-yl]prop-2-enamide
AMJNKQADUVRGCR-GUXCAODWSA-N	79S	(2~{s})-2-cyano-~{n},~{n}-dimethyl-3-[5-[3-[(1~{s},2~{r})-2-methylcyclohexyl]-3,5,8,10-tetrazatricyclo[7.3.0.0^{2,6}]dodeca-1,4,6,8,11-pentaen-4-yl]furan-2-yl]propanamide
GJMZWYLOARVASY-QINSGFPZSA-N	79T	2-cyano-3-[5-(3-cyclohexyl-3,5,8,10-tetrazatricyclo[7.3.0.0^{2,6}]dodeca-1,4,6,8,11-pentaen-4-yl)furan-2-yl]-~{n},~{n}-dimethyl-prop-2-enamide
PRFOAGMHUSKCKE-UHFFFAOYSA-N	79U	4-[3-[2-chloranyl-6-(trifluoromethyl)phenoxy]-5-(dimethylcarbamoyl)indazol-1-yl]benzoic acid
YIJQNPNARRVHGF-NSHDSACASA-N	79W	3-[(2s)-1,1-dioxido-4-oxotetrahydrothiophen-2-yl]benzaldehyde
IRPIYZBBHNVOHO-UHFFFAOYSA-N	79X	2-hydroxy-8,9-dimethoxy-6h-isoindolo[2,1-a]indol-6-one
MPCBXJASUBLGMA-HNNXBMFYSA-N	79Y	n-(2-{4-[(2s)-4-(methylsulfonyl)morpholin-2-yl]-1,3-thiazol-2-yl}phenyl)-1h-imidazole-2-carboxamide
WTDWVLJJJOTABN-UHFFFAOYSA-N	79Z	5-cyclopropyl-2-(4-fluorophenyl)-6-[(2-hydroxyethyl)(methylsulfonyl)amino]-n-methyl-1-benzofuran-3-carboxamide
ITCIAOUZMPREOO-OCCSQVGLSA-N	7A5	(8s)-2-[(3r)-3-methylmorpholin-4-yl]-9-(3-methyl-2-oxobutyl)-8-(trifluoromethyl)-6,7,8,9-tetrahydro-4h-pyrimido[1,2-a]pyrimidin-4-one
RYBNARZBIXTFJS-CAPFRKAQSA-N	7A7	methyl 9-[(2-fluoranyl-4-methoxy-phenyl)amino]-[1,3]thiazolo[5,4-f]quinazoline-2-carboximidate
LDFVYCXKPXXSNO-VIFPVBQESA-N	7A8	(1r)-dimethyl-(4-methyl-cyclohex-3-enyl)-amine
CPZBLNMUGSZIPR-DOTOQJQBSA-N	7A9	palonosetron
QSGKPYRFWJINEH-HMMYKYKNSA-N	7AA	methyl 9-[(2,4-dichlorophenyl)amino]-[1,3]thiazolo[5,4-f]quinazoline-2-carboximidate
QLEXUFWJSPRFOP-LCYNHIKNSA-N	7AB	(2e)-{(4e)-4-[(3e)-4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-ylidene]cyclohex-2-en-1-ylidene}acetaldehyde
